"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 16 23:23:09 GMT 2024","Sat Mar 16 23:23:25 GMT 2024","15885","","Cucumber Data Tables implementation practices","","Google search testing data table","","Google search testing data table","  Description: This feature describes practices for implementing Cucumber Data Tables."
"passed","Sat Mar 16 23:23:02 GMT 2024","Sat Mar 16 23:23:06 GMT 2024","4193","","Web table app login functionality","","Positive login scenario","","Positive login scenario","  Agile story: User should be able to login with correct credentials"
"passed","Sat Mar 16 23:23:22 GMT 2024","Sat Mar 16 23:23:26 GMT 2024","3900","","Some of the general functionality verifications","","Order placement scenario","","Order placement scenario",""
"passed","Sat Mar 16 23:23:29 GMT 2024","Sat Mar 16 23:23:31 GMT 2024","2246","","Some of the general functionality verifications","","Order placement scenario","","Order placement scenario",""
"passed","Sat Mar 16 23:23:22 GMT 2024","Sat Mar 16 23:23:27 GMT 2024","4234","","Google search functionality with Scenario Outline","","Google search testing with Scenario Outline","","Google search testing with Scenario Outline","  User Story: As a user, when I'm on the google page
  I should be able to search whatever I want and see relevant information."
"passed","Sat Mar 16 23:23:25 GMT 2024","Sat Mar 16 23:23:28 GMT 2024","3831","","Users should be able to login","","Login with","","Login with","  User Story:
  As a user, I should be able to login with correct credentials to different accounts. And dashboard should be displayed.
  Accounts are: driver, sales manager, store manager"
"passed","Sat Mar 16 23:23:00 GMT 2024","Sat Mar 16 23:23:03 GMT 2024","2812","","Cucumber Data Tables implementation practices","","List of the animals we love","","List of the animals we love","  Description: This feature describes practices for implementing Cucumber Data Tables."
"passed","Sat Mar 16 23:23:27 GMT 2024","Sat Mar 16 23:23:29 GMT 2024","2236","","Wiki search features","","Wikipedia Search Functionality with Scenario Outline","","Wikipedia Search Functionality with Scenario Outline","  Description: This feature describes the functionality related to searching on Wikipedia."
"passed","Sat Mar 16 23:22:58 GMT 2024","Sat Mar 16 23:23:00 GMT 2024","2629","","Cucumber Data Tables implementation practices","","List of fruits and vegetables I like","","List of fruits and vegetables I like","  Description: This feature describes practices for implementing Cucumber Data Tables."
"passed","Sat Mar 16 23:23:28 GMT 2024","Sat Mar 16 23:23:31 GMT 2024","2960","","Users should be able to login","","Login with","","Login with","  User Story:
  As a user, I should be able to login with correct credentials to different accounts. And dashboard should be displayed.
  Accounts are: driver, sales manager, store manager"
